product,recommended_with,antecedents_list,consequents_list,num_antecedents,num_consequents,confidence,lift,support,leverage,conviction
Amazfit Bip U Pro Smartwatch,Anker PowerCore 10K Powerbank,['Amazfit Bip U Pro Smartwatch'],['Anker PowerCore 10K Powerbank'],1,1,0.30246913580246915,1.0048808498420903,0.08983333333333333,0.0004363333333333441,1.0021061946902656
Anker PowerCore 10K Powerbank,Amazfit Bip U Pro Smartwatch,['Anker PowerCore 10K Powerbank'],['Amazfit Bip U Pro Smartwatch'],1,1,0.2984496124031008,1.0048808498420903,0.08983333333333333,0.0004363333333333441,1.0020662983425417
Amazfit Bip U Pro Smartwatch,Boat Stone 200 Bluetooth Speaker,['Amazfit Bip U Pro Smartwatch'],['Boat Stone 200 Bluetooth Speaker'],1,1,0.28338945005611677,0.9499087711378216,0.08416666666666667,-0.004438333333333336,0.9791464369616288
Boat Stone 200 Bluetooth Speaker,Amazfit Bip U Pro Smartwatch,['Boat Stone 200 Bluetooth Speaker'],['Amazfit Bip U Pro Smartwatch'],1,1,0.28212290502793297,0.9499087711378215,0.08416666666666667,-0.004438333333333336,0.9792762645914399
Dell Inspiron 3501 Laptop,Amazfit Bip U Pro Smartwatch,['Dell Inspiron 3501 Laptop'],['Amazfit Bip U Pro Smartwatch'],1,1,0.3082621082621083,1.0379195564380752,0.09016666666666667,0.0032941666666666813,1.0162808896210875
Amazfit Bip U Pro Smartwatch,Dell Inspiron 3501 Laptop,['Amazfit Bip U Pro Smartwatch'],['Dell Inspiron 3501 Laptop'],1,1,0.303591470258137,1.0379195564380752,0.09016666666666667,0.0032941666666666813,1.0159266720386786
Amazfit Bip U Pro Smartwatch,HP Pavilion 15 Laptop,['Amazfit Bip U Pro Smartwatch'],['HP Pavilion 15 Laptop'],1,1,0.29517396184062855,1.0000247154397353,0.08766666666666667,2.1666666666642076e-06,1.0000103503184714
HP Pavilion 15 Laptop,Amazfit Bip U Pro Smartwatch,['HP Pavilion 15 Laptop'],['Amazfit Bip U Pro Smartwatch'],1,1,0.29700734048560135,1.0000247154397353,0.08766666666666667,2.1666666666642076e-06,1.0000104417670683
Amazfit Bip U Pro Smartwatch,JBL C200 Bass Earphones,['Amazfit Bip U Pro Smartwatch'],['JBL C200 Bass Earphones'],1,1,0.3209876543209877,1.0495509133111314,0.09533333333333334,0.004500833333333343,1.022318181818182
JBL C200 Bass Earphones,Amazfit Bip U Pro Smartwatch,['JBL C200 Bass Earphones'],['Amazfit Bip U Pro Smartwatch'],1,1,0.311716621253406,1.0495509133111314,0.09533333333333334,0.004500833333333343,1.021381631037213
Amazfit Bip U Pro Smartwatch,Lenovo Tab M10 Tablet,['Amazfit Bip U Pro Smartwatch'],['Lenovo Tab M10 Tablet'],1,1,0.2962962962962963,1.0124019235636545,0.088,0.0010779999999999956,1.005157894736842
