transaction_id,product_id,product_name,category,brand,price,rack_id,aisle_id
T00001,P009,Amazfit Bip U Pro Smartwatch,Smartwatch,Amazfit,9000,R6,A4
T00001,P008,Anker PowerCore 10K Powerbank,Powerbank,Anker,3000,R5,A3
T00001,P002,Xiaomi Redmi Note 11 Smartphone,Smartphone,Xiaomi,18000,R1,A1
T00001,P003,Dell Inspiron 3501 Laptop,Laptop,Dell,65000,R2,A2
T00002,P008,Anker PowerCore 10K Powerbank,Powerbank,Anker,3000,R5,A3
T00002,P001,Samsung Galaxy A52 Smartphone,Smartphone,Samsung,25000,R1,A1
T00002,P006,JBL C200 Bass Earphones,Earphones,JBL,1500,R4,A3
T00002,P010,Boat Stone 200 Bluetooth Speaker,Speaker,Boat,2500,R7,A4
T00002,P009,Amazfit Bip U Pro Smartwatch,Smartwatch,Amazfit,9000,R6,A4
T00003,P001,Samsung Galaxy A52 Smartphone,Smartphone,Samsung,25000,R1,A1
T00003,P002,Xiaomi Redmi Note 11 Smartphone,Smartphone,Xiaomi,18000,R1,A1
T00003,P008,Anker PowerCore 10K Powerbank,Powerbank,Anker,3000,R5,A3
T00003,P006,JBL C200 Bass Earphones,Earphones,JBL,1500,R4,A3
T00004,P006,JBL C200 Bass Earphones,Earphones,JBL,1500,R4,A3
T00004,P005,Lenovo Tab M10 Tablet,Tablet,Lenovo,22000,R3,A1
T00005,P008,Anker PowerCore 10K Powerbank,Powerbank,Anker,3000,R5,A3
T00005,P007,Mi Fast Charger 20W,Charger,Mi,800,R4,A3
T00005,P009,Amazfit Bip U Pro Smartwatch,Smartwatch,Amazfit,9000,R6,A4
T00005,P002,Xiaomi Redmi Note 11 Smartphone,Smartphone,Xiaomi,18000,R1,A1
T00006,P007,Mi Fast Charger 20W,Charger,Mi,800,R4,A3
T00006,P009,Amazfit Bip U Pro Smartwatch,Smartwatch,Amazfit,9000,R6,A4
T00006,P010,Boat Stone 200 Bluetooth Speaker,Speaker,Boat,2500,R7,A4
T00006,P008,Anker PowerCore 10K Powerbank,Powerbank,Anker,3000,R5,A3
T00007,P003,Dell Inspiron 3501 Laptop,Laptop,Dell,65000,R2,A2
T00007,P010,Boat Stone 200 Bluetooth Speaker,Speaker,Boat,2500,R7,A4
T00007,P009,Amazfit Bip U Pro Smartwatch,Smartwatch,Amazfit,9000,R6,A4
T00007,P006,JBL C200 Bass Earphones,Earphones,JBL,1500,R4,A3
T00008,P001,Samsung Galaxy A52 Smartphone,Smartphone,Samsung,25000,R1,A1
T00008,P006,JBL C200 Bass Earphones,Earphones,JBL,1500,R4,A3
T00008,P005,Lenovo Tab M10 Tablet,Tablet,Lenovo,22000,R3,A1
T00008,P004,HP Pavilion 15 Laptop,Laptop,HP,60000,R2,A2
T00008,P002,Xiaomi Redmi Note 11 Smartphone,Smartphone,Xiaomi,18000,R1,A1
T00009,P008,Anker PowerCore 10K Powerbank,Powerbank,Anker,3000,R5,A3
T00010,P008,Anker PowerCore 10K Powerbank,Powerbank,Anker,3000,R5,A3
T00010,P005,Lenovo Tab M10 Tablet,Tablet,Lenovo,22000,R3,A1
T00011,P009,Amazfit Bip U Pro Smartwatch,Smartwatch,Amazfit,9000,R6,A4
T00011,P006,JBL C200 Bass Earphones,Earphones,JBL,1500,R4,A3
T00012,P006,JBL C200 Bass Earphones,Earphones,JBL,1500,R4,A3
T00012,P004,HP Pavilion 15 Laptop,Laptop,HP,60000,R2,A2
T00012,P002,Xiaomi Redmi Note 11 Smartphone,Smartphone,Xiaomi,18000,R1,A1
T00012,P001,Samsung Galaxy A52 Smartphone,Smartphone,Samsung,25000,R1,A1
T00013,P003,Dell Inspiron 3501 Laptop,Laptop,Dell,65000,R2,A2
T00013,P001,Samsung Galaxy A52 Smartphone,Smartphone,Samsung,25000,R1,A1
T00013,P010,Boat Stone 200 Bluetooth Speaker,Speaker,Boat,2500,R7,A4
T00013,P002,Xiaomi Redmi Note 11 Smartphone,Smartphone,Xiaomi,18000,R1,A1
T00014,P005,Lenovo Tab M10 Tablet,Tablet,Lenovo,22000,R3,A1
T00014,P010,Boat Stone 200 Bluetooth Speaker,Speaker,Boat,2500,R7,A4
T00014,P002,Xiaomi Redmi Note 11 Smartphone,Smartphone,Xiaomi,18000,R1,A1
T00015,P002,Xiaomi Redmi Note 11 Smartphone,Smartphone,Xiaomi,18000,R1,A1
T00016,P008,Anker PowerCore 10K Powerbank,Powerbank,Anker,3000,R5,A3
T00017,P001,Samsung Galaxy A52 Smartphone,Smartphone,Samsung,25000,R1,A1
T00017,P007,Mi Fast Charger 20W,Charger,Mi,800,R4,A3
T00018,P010,Boat Stone 200 Bluetooth Speaker,Speaker,Boat,2500,R7,A4
T00018,P001,Samsung Galaxy A52 Smartphone,Smartphone,Samsung,25000,R1,A1
T00018,P008,Anker PowerCore 10K Powerbank,Powerbank,Anker,3000,R5,A3
T00018,P005,Lenovo Tab M10 Tablet,Tablet,Lenovo,22000,R3,A1
T00018,P009,Amazfit Bip U Pro Smartwatch,Smartwatch,Amazfit,9000,R6,A4
T00019,P001,Samsung Galaxy A52 Smartphone,Smartphone,Samsung,25000,R1,A1
T00019,P006,JBL C200 Bass Earphones,Earphones,JBL,1500,R4,A3
T00020,P007,Mi Fast Charger 20W,Charger,Mi,800,R4,A3
T00021,P001,Samsung Galaxy A52 Smartphone,Smartphone,Samsung,25000,R1,A1
T00021,P002,Xiaomi Redmi Note 11 Smartphone,Smartphone,Xiaomi,18000,R1,A1
T00021,P009,Amazfit Bip U Pro Smartwatch,Smartwatch,Amazfit,9000,R6,A4
T00022,P009,Amazfit Bip U Pro Smartwatch,Smartwatch,Amazfit,9000,R6,A4
T00023,P003,Dell Inspiron 3501 Laptop,Laptop,Dell,65000,R2,A2
T00024,P007,Mi Fast Charger 20W,Charger,Mi,800,R4,A3
T00024,P005,Lenovo Tab M10 Tablet,Tablet,Lenovo,22000,R3,A1
T00024,P006,JBL C200 Bass Earphones,Earphones,JBL,1500,R4,A3
T00024,P004,HP Pavilion 15 Laptop,Laptop,HP,60000,R2,A2
T00024,P003,Dell Inspiron 3501 Laptop,Laptop,Dell,65000,R2,A2
T00025,P004,HP Pavilion 15 Laptop,Laptop,HP,60000,R2,A2
T00025,P001,Samsung Galaxy A52 Smartphone,Smartphone,Samsung,25000,R1,A1
T00025,P005,Lenovo Tab M10 Tablet,Tablet,Lenovo,22000,R3,A1
T00025,P009,Amazfit Bip U Pro Smartwatch,Smartwatch,Amazfit,9000,R6,A4
T00026,P010,Boat Stone 200 Bluetooth Speaker,Speaker,Boat,2500,R7,A4
T00027,P003,Dell Inspiron 3501 Laptop,Laptop,Dell,65000,R2,A2
T00028,P010,Boat Stone 200 Bluetooth Speaker,Speaker,Boat,2500,R7,A4
T00028,P001,Samsung Galaxy A52 Smartphone,Smartphone,Samsung,25000,R1,A1
T00029,P003,Dell Inspiron 3501 Laptop,Laptop,Dell,65000,R2,A2
T00029,P006,JBL C200 Bass Earphones,Earphones,JBL,1500,R4,A3
T00029,P004,HP Pavilion 15 Laptop,Laptop,HP,60000,R2,A2
T00029,P010,Boat Stone 200 Bluetooth Speaker,Speaker,Boat,2500,R7,A4
T00030,P008,Anker PowerCore 10K Powerbank,Powerbank,Anker,3000,R5,A3
T00030,P006,JBL C200 Bass Earphones,Earphones,JBL,1500,R4,A3
T00030,P002,Xiaomi Redmi Note 11 Smartphone,Smartphone,Xiaomi,18000,R1,A1
T00030,P001,Samsung Galaxy A52 Smartphone,Smartphone,Samsung,25000,R1,A1
T00030,P005,Lenovo Tab M10 Tablet,Tablet,Lenovo,22000,R3,A1
T00031,P001,Samsung Galaxy A52 Smartphone,Smartphone,Samsung,25000,R1,A1
